Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
323588,Influenza - Avian,;H5N1 HPAI;,57.39,-2.32,"Inverurie, Aberdeenshire",U.K. of Great Britain and Northern Ireland,Europe,2022-01-22T00:00:00Z,2022-05-27T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
360934,Influenza - Avian,;H5N1 HPAI;,57.66,-1.99,"Fraserburgh, Aberdeenshire",U.K. of Great Britain and Northern Ireland,Europe,2023-08-10T00:00:00Z,2023-08-18T00:00:00Z,"Domestic,Phasianidae (unidentified):Phasianidae (incognita)(Phasianidae),",WOAH (former OIE),,,Confirmed
336802,Influenza - Avian,;H5N1 HPAI;,57.56,-2.49,Turriff Aberdeenshire,U.K. of Great Britain and Northern Ireland,Europe,2022-11-24T00:00:00Z,2022-12-02T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
335764,Influenza - Avian,;H5N1 HPAI;,57.5,-2.47,"Turriff, Aberdeenshire",U.K. of Great Britain and Northern Ireland,Europe,2022-11-03T00:00:00Z,2022-11-11T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
316116,Influenza - Avian,;H5N1 HPAI;,57.37,-1.92,"Collieston, Aberdeenshire",U.K. of Great Britain and Northern Ireland,Europe,2022-03-02T00:00:00Z,2022-03-18T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
358438,Influenza - Avian,;H5N1 HPAI;,57.63,-2.57,"Banff, Aberdeenshire",U.K. of Great Britain and Northern Ireland,Europe,2023-07-05T00:00:00Z,2023-07-14T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
338377,Influenza - Avian,;H5N1 HPAI;,57.6,-3.63,"Nairn, Moray",U.K. of Great Britain and Northern Ireland,Europe,2022-12-05T00:00:00Z,2022-12-16T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
360935,Influenza - Avian,;H5N1 HPAI;,57.66,-1.97,"Fraserburgh, Aberdeenshire",U.K. of Great Britain and Northern Ireland,Europe,2023-08-09T00:00:00Z,2023-08-18T00:00:00Z,"Domestic,Phasianidae (unidentified):Phasianidae (incognita)(Phasianidae),",WOAH (former OIE),,,Confirmed
312388,Influenza - Avian,;H5N1 HPAI;,57.39,-2.32,"Inverurie, Aberdeenshire",U.K. of Great Britain and Northern Ireland,Europe,2022-01-22T00:00:00Z,2022-01-28T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
335185,Influenza - Avian,;H5N1 HPAI;,57.43,-2.55,"Huntly, Aberdeenshire",U.K. of Great Britain and Northern Ireland,Europe,2022-10-26T00:00:00Z,2022-11-04T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
